;CRC;HL;HD;TL;Hlimb
Dendropsophus_limai;19;6.283596502;6.5;9.525755005;26
Dendropsophus_rhea;19;6.15;5.9;9.46;31.82
Dendropsophus_microps;22.5;8.5;8.5;14.36;39.85
Dendropsophus_giesleri;25;8.529629286;8.654830903;13.31199468;39
Dendropsophus_decipiens;19;7;7;10;26.5
Dendropsophus_studerae;28.2;9;9.4;15.4;51.8
Dendropsophus_haddadi;22.6;7.31;7.5;11.34;32.18
Dendropsophus_novaisi;39;12.31513945;11.5;19.07967589;56.98690523
Bokermannohyla_alvarengai;76;25.07573233;32;38.74031558;125
Bokermannohyla_martinsi;56;19.73097733;21;28.19247603;86
Bokermannohyla_caramaschii;62.85;22.05;22.47;32.56;110.08
Bokermannohyla_astartea;58.21449366;20.68841204;21.31687633;29.78391699;96.27713061
Bokermannohyla_lucianae;47.6;17.7;17.2;24.4;81.5
Bokermannohyla_circumdata;60.06800108;21.44280081;22.10366128;30;87.6
Bokermannohyla_hylax;60.31595452;21.57579077;22.12155568;29.8;83.2
Bokermannohyla_pseudopseudis;43.5;15.73;102.3;23.68;66.43
Bokermannohyla_carvalhoi;61;20;23;33;108
Bokermannohyla_langei;66;21.38489955;23;33.92777319;106.8025259
Bokermannohyla_saxicola;50.1;17;17.69;25;71.94
Bokermannohyla_vulcaniae;47.21835112;15.63;20.86122671;24.98;82.40539148
Bokermannohyla_ahenea;52.1;17.11091977;18.1;27.03657132;88.9
Bokermannohyla_nanuzae;41;13.59025947;20.5;20.5;60.17463481
Bokermannohyla_luctuosa;53.75;18.55;18.6;27.3;77.8
Bokermannohyla_claresignata;61;20;23;33;112
Bokermannohyla_gouveai;68;20.3;23.9;36;123.5
Bokermannohyla_clepsydra;53;15.86469001;18.75;27.75;92.019997
Bokermannohyla_ibitipoca;39.5;14.3;14.1;20;48.64166354
Hypsiboas_cymbalum;47;16.0301855;14.75;24.476153;78
Hypsiboas_punctatus;35.7;12.5;12.5;18.9;65.3
Hypsiboas_cipoensis;34.35;12.15404822;12.6268382;18.3914866;60.7477963
Hypsiboas_semilineatus;68.3;23.87;24.43;34.8;119.33
Hypsiboas_geographicus;50.25042078;17.98969044;18;23.80976471;65
Hypsiboas_pombali;54.36686168;18.43082316;19.2;29.03690016;99.5
Hypsiboas_raniceps;53.89940688;17.64150123;22;29.03714442;105
Hypsiboas_stellae;41.62681958;13.63593486;15.17;21.66812644;72.07
Hypsiboas_albopunctatus;46.55939582;15.20644288;17.4;24.72858515;87
Hypsiboas_stenocephalus;28.3;8.6;7.7;14;50.2
Hypsiboas_goianus;33;11.59268225;12.88487589;18.15914795;56.95492322
Hypsiboas_crepitans;65;21;23;36;95
Hypsiboas_exastis;86.5;31;30.2;50.1;160.8
Hypsiboas_faber;99.2;36.33;40.48;58.13;161.93
Hypsiboas_pardalis;68.7;23.36;23.36;35.04;96.87
Hypsiboas_lundii;72.4;24.6706521;24.5;37.5;99.78911969
Hypsiboas_albomarginatus;56;19;21;30;80
Hypsiboas_pulchellus;43.5;13.95464434;13.68607839;21.71240741;60.26809731
Hypsiboas_prasinus;44.7;14.3;13.86;22.8;64.82
Hypsiboas_beckeri;44.47556927;14.26217296;14.01134089;22.11204104;61.49822848
Hypsiboas_secedens;56.4;18.5;17.46;26.8;70.6872956
Hypsiboas_caingua;33.1;10.55;10.23919349;17.45;57.7
Hypsiboas_marginatus;48.78365376;15.44075726;15.52120312;24.3;69.7
Hypsiboas_bischoffi;62.26395183;20.00962544;20.04076351;30.9;84.54
Hypsiboas_guentheri;36;10.8;10.4;15.90237385;31.6
Hypsiboas_atlanticus;38.32;12.4;13.83;18.3;43.29913263
Hypsiboas_semiguttatus;43.1;14.7;14.3;22.7;58.1
Hypsiboas_joaquini;50.86;16.38;16.69;27.33;80.38
Hypsiboas_freicanecae;40;14.1;15.3;21.7;58.8
Hypsiboas_leptolineatus;30;8.7;8.6;15.2;52.8
Hypsiboas_polytaenius;38.1;12.19;11.81;19.05;52.58
Hypsiboas_latistriatus;44.8;13.5;13.7;22;73.6
Aplastodiscus_perviridis;40.78498904;14.03;13.99095253;18.88;50.17
Aplastodiscus_flumineus;45.1;15.29766438;14.3;22.93051902;80.1
Aplastodiscus_cochranae;43.56;14.6960265;16.65;20.69;62.83439145
Aplastodiscus_albosignatus;41.5;14.94;13.28;21.58;58.11
Aplastodiscus_callipygius;48;15;16;23.2;79.8
Aplastodiscus_musicus;47;15;16;21.96157689;75.34430361
Aplastodiscus_sibilatus;31.8;11.6;10.4;15.9;53.7
Aplastodiscus_leucopygius;42;14.7;13.8;20.5;69.9
Aplastodiscus_cavicola;33.2;12.1;11.6;17.3;59.5
Aplastodiscus_ehrhardti;33.7;12.98;10.38;17.27;45.76727873
Aplastodiscus_weygoldti;41.7;13.7;13.7;20.8;69
Aplastodiscus_ibirapitanga;41.3;14.1;13.3;19.3;64.6
Aplastodiscus_arildae;37.72414723;12.6;12.6;18.7;63.7
Aplastodiscus_eugenioi;37.5;13.3;13;19.8;64
Aplastodiscus_albofrenatus;39.3;13.7442331;12.97;18.3192381;44.24
191;41.20957472;13.7297985;14.95490727;21.0679753;63.1277615
192;37.84241977;12.47027785;13.10784257;19.26191272;56.5292266
193;48.00706996;16.11232679;16.77111878;25.03394313;68.83562971
194;54.26685533;18.73174781;18.83407891;28.34401837;76.02240097
195;55.90231056;19.22631353;19.36497275;28.97146915;76.76732945
196;70.62040348;22.2418464;22.7390783;33.41692291;85.35354724
197;72.37026845;22.54105445;23.13406335;33.72916535;85.32041578
198;76.50877768;22.9720034;23.95274344;33.5685338;78.73298328
199;78.00420442;23.10992636;24.17241597;32.25407353;60.02980587
200;64.14402694;18.87765028;19.93032214;29.4368618;79.91623426
201;57.99493414;21.54109231;20.1159018;31.8777392;87.75866039
202;47.48723642;15.7377557;16.68031784;24.86107451;68.40231966
203;34.73981935;11.09644748;12.6223784;17.36814242;49.13506093
204;33.63045497;10.70297114;12.33887935;16.42716236;47.2048555
205;36.47531359;11.36067297;13.5466416;16.71518524;51.26734656
206;32.13922117;9.943407481;11.88086829;14.78112029;44.14391736
207;33.73393273;10.29046197;11.91408706;15.73648092;45.59511696
208;25.88733201;7.841751642;9.594041157;13.03688888;36.52004192
209;24.54207016;7.331767128;9.205280819;12.16184344;34.30645268
210;24.32256652;7.225986158;8.996305421;11.99437648;33.88396895
211;23.55230168;6.830843118;8.416764536;11.20213098;30.17704658
212;23.90791431;7.193609362;9.681431375;11.86120006;33.5406871
213;37.84235323;12.47025361;13.10781384;19.26187573;56.52912714
214;35.1719837;11.56873098;12.01179228;17.7711167;52.43249883
215;33.84603903;10.98223393;11.4262966;16.94676798;50.09252147
216;30.11642481;9.233857955;9.547175636;14.59423064;43.13394547
217;29.51012661;9.014811172;9.257914147;14.19913198;42.02268791
218;29.91857537;8.937067388;9.396728989;14.50907522;42.70234447
219;31.96884111;10.17219548;10.64513992;15.78665392;46.85717189
